Tipo de edificación;Régimen de tenencia;periodo;Total
Edificio con 10 o más viviendas;Total;2020;9008,9
Edificio con 10 o más viviendas;Total;2019;8754,3
Edificio con 10 o más viviendas;Total;2018;8754,1
Edificio con 10 o más viviendas;Total;2017;8834,8
Edificio con 10 o más viviendas;Total;2016;8656,6
Edificio con 10 o más viviendas;Total;2015;8498,6
Edificio con 10 o más viviendas;Total;2014;8416,6
Edificio con 10 o más viviendas;Total;2013;8336,7
Edificio con 10 o más viviendas;Propia por compra, totalmente pagada, heredada o donada;2020;4017,5
Edificio con 10 o más viviendas;Propia por compra, totalmente pagada, heredada o donada;2019;3899,2
Edificio con 10 o más viviendas;Propia por compra, totalmente pagada, heredada o donada;2018;3857,3
Edificio con 10 o más viviendas;Propia por compra, totalmente pagada, heredada o donada;2017;3938,3
Edificio con 10 o más viviendas;Propia por compra, totalmente pagada, heredada o donada;2016;3863,6
Edificio con 10 o más viviendas;Propia por compra, totalmente pagada, heredada o donada;2015;3798,7
Edificio con 10 o más viviendas;Propia por compra, totalmente pagada, heredada o donada;2014;3692,5
Edificio con 10 o más viviendas;Propia por compra, totalmente pagada, heredada o donada;2013;3655,9
Edificio con 10 o más viviendas;Propia con pagos pendientes;2020;2638,7
Edificio con 10 o más viviendas;Propia con pagos pendientes;2019;2532,6
Edificio con 10 o más viviendas;Propia con pagos pendientes;2018;2583
Edificio con 10 o más viviendas;Propia con pagos pendientes;2017;2646,8
Edificio con 10 o más viviendas;Propia con pagos pendientes;2016;2630,3
Edificio con 10 o más viviendas;Propia con pagos pendientes;2015;2573,6
Edificio con 10 o más viviendas;Propia con pagos pendientes;2014;2647
Edificio con 10 o más viviendas;Propia con pagos pendientes;2013;2704,7
Edificio con 10 o más viviendas;Alquilada;2020;1905,3
Edificio con 10 o más viviendas;Alquilada;2019;1910,5
Edificio con 10 o más viviendas;Alquilada;2018;1909,5
Edificio con 10 o más viviendas;Alquilada;2017;1872,2
Edificio con 10 o más viviendas;Alquilada;2016;1793
Edificio con 10 o más viviendas;Alquilada;2015;1759,5
Edificio con 10 o más viviendas;Alquilada;2014;1710,5
Edificio con 10 o más viviendas;Alquilada;2013;1636,2
Edificio destinado a otros usos;Total;2020;45,4
Edificio destinado a otros usos;Total;2019;47,2
Edificio destinado a otros usos;Total;2018;40,7
Edificio destinado a otros usos;Total;2017;29,9
Edificio destinado a otros usos;Total;2016;32,7
Edificio destinado a otros usos;Total;2015;32,7
Edificio destinado a otros usos;Total;2014;54,1
Edificio destinado a otros usos;Total;2013;73,4
Edificio destinado a otros usos;Propia por compra, totalmente pagada, heredada o donada;2020;16,4
Edificio destinado a otros usos;Propia por compra, totalmente pagada, heredada o donada;2019;15,7
Edificio destinado a otros usos;Propia por compra, totalmente pagada, heredada o donada;2018;13,5
Edificio destinado a otros usos;Propia por compra, totalmente pagada, heredada o donada;2017;12,4
Edificio destinado a otros usos;Propia por compra, totalmente pagada, heredada o donada;2016;12
Edificio destinado a otros usos;Propia por compra, totalmente pagada, heredada o donada;2015;8,8
Edificio destinado a otros usos;Propia por compra, totalmente pagada, heredada o donada;2014;22,6
Edificio destinado a otros usos;Propia por compra, totalmente pagada, heredada o donada;2013;23,5
Edificio destinado a otros usos;Propia con pagos pendientes;2020;4,8
Edificio destinado a otros usos;Propia con pagos pendientes;2019;4,3
Edificio destinado a otros usos;Propia con pagos pendientes;2018;6,9
Edificio destinado a otros usos;Propia con pagos pendientes;2017;3
Edificio destinado a otros usos;Propia con pagos pendientes;2016;1,7
Edificio destinado a otros usos;Propia con pagos pendientes;2015;2,5
Edificio destinado a otros usos;Propia con pagos pendientes;2014;8,8
Edificio destinado a otros usos;Propia con pagos pendientes;2013;13,9
Edificio destinado a otros usos;Alquilada;2020;13,3
Edificio destinado a otros usos;Alquilada;2019;15,9
Edificio destinado a otros usos;Alquilada;2018;6,8
Edificio destinado a otros usos;Alquilada;2017;7,9
Edificio destinado a otros usos;Alquilada;2016;7,9
Edificio destinado a otros usos;Alquilada;2015;5,8
Edificio destinado a otros usos;Alquilada;2014;6,5
Edificio destinado a otros usos;Alquilada;2013;17,5
